Název,IČO,Zřizovatel,Bezbariérovost,Poznámka k bezbariérovosti,Typ muzea,Zaměření muzea,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ,Webové stránky,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,Jedinečný identifikátor v datovém skladu Turistického portálu KHK,ID,x2,y2
Opočno v zrcadle času,00371149,Královéhradecký kraj,ne,bezbariérové WC ne,historické,prohlídka nejstaršího domu v Opočně ze 17. století a expozice o historii města,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Dobruška,5202,Opočno,576590,U Zvonice,55,č.p.,,51773,"https://www.opocno.cz/expozice-opocno-v-zrcadle-casu-dum-cp-55/os-1060
https://www.moh.cz/opocno-v-zrcadle-casu",POINT(50.2665511 16.1159636),16.1159636,50.2665511,MG119,4109,119,1794020.86159494,6492566.40582722
Památník Františka Kavána,00271764,Obec Libuň,ne,bezbariérové WC ne,umělecké,"expozici obrazů malíře Františka Kavány, nábytek a předměty z jeho pozůstalosti",Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Libuň,573124,Libuň,3,č.p.,,50715,https://libun.cz/obec/pametihodnosti/pomnik-frantiska-kavana/,POINT(50.4984539 15.2978708),15.2978708,50.4984539,MG120,4081,120,1702951.18767729,6533050.99066316
Památník Františka Škroupa,00653381,Obec Osice,ne,bezbariérové WC ne,historické,expozice o životě místního rodáka Františka Škroupa,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Osice,570532,Osice,1,č.p.,,50326,https://www.osice.cz/turisticke-informace,POINT(50.1431103 15.6855894),15.6855894,50.1431103,MG121,4111,121,1746111.82480037,6471097.01072013
"Památník J. A. Komenského, Bílá Třemešná",00277673,Obec Bílá Třemešná,ne,,historické,"památník prezentuje historické dokumenty, fotografie a mapy",Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Bílá Třemešná,579068,Bílá Třemešná,1,č.p.,,54472,"https://www.bilatremesna.cz/#
https://www.jakbt.cz/",POINT(50.4415206 15.7471278),15.7471278,50.4415206,MG122,4003,122,1752962.24815261,6523093.4683111
Památník K. V. Raise,00271730,Obec Lázně Bělohrad,částečně,"bezbariérové WC ano - po domluvě, bezbariérový vstup zadním vchodem také po domluvě, jinak u hlavního vchodu nutno překonat 3 schody",obecné,"stálá expozice - život a dílo K. V. Raise, historie Lázní Bělohradu",Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Lázně Bělohrad,573094,Barákova,3,č.p.,,50781,http://www.lazne-belohrad.cz/kultura/pamatnik-k-v-raise/,POINT(50.4306664 15.5812647),15.5812647,50.4306664,MG123,4078,123,1734498.45231922,6521196.44989334
Památník Karla Jaromíra Erbena Miletín,00271811,Město Miletín,částečně,"bezbariérové WC ne, vyvýšené prahy",obecné,"expozice popisují a vykreslují život básníka Karla Jaromíra Erbena, dílo a prostředí, ve kterém se pohyboval",Královéhradecký kraj,CZ052,Jičín,CZ0522,Hořice,5204,Miletín,573175,Barbory Linkové ,142,č.p.,,50771,https://www.miletin.cz/historie/karel-jaromir-erben/rodny-domek/,POINT(50.4059564 15.6800747),15.6800747,50.4059564,MG124,4087,124,1745497.9312045,6516879.436481
Památník Marie a Vojtěcha Sedláčkových v Javornici,00274933,Obec Javornice,ne,bezbariérové WC ne,umělecké,expozice obrazů a krajkářských výrobků,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Javornice,576336,Javornice,37,č.p.,,51711,"https://pamatnik-javornice.estranky.cz/
https://www.obecjavornice.cz/kultura-a-sdruzeni/kultura/23-pamatnik-marie-a-vojtecha-sedlackovych",POINT(50.1610511 16.3604556),16.3604556,50.1610511,MG125,4069,125,1821237.58653796,6474213.91189442
"Památník, rodný dům Václava Hanky",00268801,Obec Hořiněves,ne,,vlastivědné,expozice věnovaná životu a dílu Václava Hanky,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hořiněves,570044,Hořiněves,10,č.p.,,50306,https://www.horineves.cz/muzeum,POINT(50.3120006 15.7651364),15.7651364,50.3120006,MG126,4036,126,1754966.95633451,6500485.2071172
Pamětní síň Foerstrova rodu Osenice,00271471,Obec Dětenice,ne,,historické,expozice věnující se hudebnímu skladateli Josefu Bohuslavu Foersterovi,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Dětenice,572829,Osenice,27,č.p.,,50724,http://www.obecdetenice.cz/kontakt/,POINT(50.3708453 15.1591747),15.1591747,50.3708453,MG127,4017,127,1687511.60845028,6510749.14656282
Pěchotní srub T-S 20 Pláň,71179844,"Spolek vojenské historie T-S 20 Pláň, z.s.",částečně,"bezbariérové wc ne, bezbariérově přístupno cca 50 %",vojenské,"Expozice se zaměřuje především na československé legionáře v Itálii, události roku 1938 na Broumovsku a radistu výsadku SILVER A Jiřího Potůčka. Expozice 1. a 2. světové války a těsně poválečného období.

",Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Stárkov,574465,Chlívce,,,,54931,https://www.ts20.cz/,POINT(50.5078828 16.1251631),16.1251631,50.5078828,MG128,4133,128,1795044.94525049,6534701.24488492
Pěchotní srub T-S 26,70889759,KVH Odolov z.s.,částečně,"bezbariérové WC ne, bezbariérově přístupno 50 %",vojenské,věnuje se československému opevnění z let 1935-1938,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Rtyně v Podkrkonoší,579637,Rtyně v Podkrkonoší,,,,54233,https://www.t-s26.cz/,POINT(50.5268594 16.0956264),16.0956264,50.5268594,MG129,4124,129,1791756.93484678,6538023.54510987
Pěchotní srub T-S 27,26657147,KVH Brendy z.s.,ne,bezbariérové WC ne,vojenské,expozice přestavuje dvoukřídlý pěchotní srub postavený v I. stupni odolnosti,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Malé Svatoňovice,579513,Odolov,,,,54234,https://www.t-s27.cz/,POINT(50.5299786 16.0942678),16.0942678,50.5299786,MG130,4085,130,1791605.69618659,6538569.76229051
Pevnost Dobrošov,00084930,Královéhradecký kraj,částečně,"bezbariérové WC ano, předem objednat - bezb. přístupno 50 % okruhu",vojenské,"Prohlídka zahrnuje vojenské sruby Můstek, Zelený, podzemní chodby mezi těmito objekty a srub Jeřáb. V návštěvnickém centrum je k vidění expozice československého meziválečného opevnění.",Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Náchod,573868,Dobrošov,97,č.p.,,54701,https://www.pevnostdobrosov.cz/,POINT(50.4024944 16.2022789),16.2022789,50.4024944,MG131,4097,131,1803629.43683861,6516274.78017206
Pevnost Hanička,00275301,Město Rokytnice v Orlických horách,částečně,"bezbariérové WC ne, bezb. přístup není z parkoviště nýbrž přímo od silnice, bezb. je přístupno nádvoří, vstupní expozice, cesty mezi budovami, ale podzemí ne, základní prohlídka dělostřeleckého srubu také ne",vojenské,expozice tvoří šest bojových objektů v podzemí propojených stovkami metrů chodeb a sálů,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rokytnice v Orlických horách,576701,Horní Rokytnice,,,,51761,http://www.hanicka.cz/,POINT(50.1962742 16.5096425),16.5096425,50.1962742,MG132,4119,132,1837844.99627899,6480336.71592239
Pevnost Josefov,13585185,Městské kulturní středisko Jaroměř,ano,bezbariérové WC ano,vojenské,expozice obsahuje exponáty k válečným událostem z celého světa,Královéhradecký kraj,CZ052,Náchod,CZ0523,Jaroměř,5206,Jaroměř - Josefov,574121,Okružní,34,č.p.,,55102,https://www.pevnostjosefov.cz/,POINT(50.3384222 15.9250492),15.9250492,50.3384222,MG133,4068,133,1772768.36780183,6505092.20057227
Podorlický skanzen Krňovice,60109106,Dřevozpracující družstvo,ano,bezbariérové WC ano,historické,"ukázky dobových řemesel, strojů a pracovních nástrojů potřebných k životu předešlých generací východních Čech. Dále jsou k vidění stavby lidové architektury přenesené z původních lokalit.
",Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Třebechovice pod Orebem,571041,Krňovice,33,č.p.,,50346,https://www.krnovice.cz/,POINT(50.1902989 15.9822728),15.9822728,50.1902989,MG134,4147,134,1779138.46981519,6479297.71615777
Pohádkové Krkonoše,25942379,CZECH TRAVEL & TOURISTIC s.r.o.,ano,bezbariérové WC ano,jiné,"expozice krkonošských skřítků a pohádkových postaviček, interaktivní, naučná, herní, pohádková výstava",Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Svoboda nad Úpou,579734,Rýchorské sídliště,146,č.p.,,54224,https://pohadkove.krkonose.eu/,POINT(50.6337186 15.8116994),15.8116994,50.6337186,MG135,4136,135,1760150.32578432,6556756.75397561
První vojenskohistorické muzeum M. Frosta,00442755,Český svaz bojovníků za svobodu,ano,"bezbariérové WC ano, po domluvě i bezbariérový přístup - výtah",vojenské,exponáty mapující několik historických období a válečných událostí z celého světa,Královéhradecký kraj,CZ052,Náchod,CZ0523,Jaroměř,5206,Jaroměř - Josefov,574121,Riegrovo náměstí,7,č.p.,,55102,https://www.jaromer-josefov.cz/volny-cas/kam-za-kulturou/prvni-vojenskohistoricke-muzeum-m-frosta/,POINT(50.3386647 15.9255694),15.9255694,50.3386647,MG136,4066,136,1772826.27620094,6505134.49586831
Regionální muzeum a galerie Jičín,00084549,Královéhradecký kraj,částečně,"bezbariérové WC ne, bezbariérový přístup pouze do galerie",obecné,stálá expozice Muzea hry – Dějiny a příroda Jičínska - historie a příroda Jičína a jeho nejbližšího okolí,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičín,572659,Valdštejnovo náměstí ,1,č.p.,,50601,https://www.muzeumhry.cz/,POINT(50.4359233 15.3521617),15.3521617,50.4359233,MG137,4070,137,1708994.82302,6522115.1584625
Regionální vojenské muzeum Jestřebích hor,70889759,KVH Odolov z.s.,ne,bezbariérové WC ne,vojenské,"expozice tvoří vojenskou historii od prusko-rakouské války roku 1866 po současnost, se zaměřením na ozbrojené složky, působící na území naší republiky",Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Malé Svatoňovice,579513,Nádražní,53,č.p.,,54234,https://www.t-s26.cz/,POINT(50.5300828 16.0489044),16.0489044,50.5300828,MG138,4084,138,1786555.86559793,6538588.00984579
Rentzovo muzeum barokního tisku,16277015,Stanislav Bohadlo,částečně,"bezbariérové WC ne, do druhé části expozice nutno překonat 4 schody",jiné,"Expozice zaměřená na umělce Michaela Heinricha Rentze a jeho sbírku. K vidění jsou barokní tiskárny, ukázky barokního umění a historických barokních řemesel.",Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Kuks,579416,Kuks ,58,č.p.,,54443,https://www.rentzovomuzeum.cz/,POINT(50.4009628 15.8896175),15.8896175,50.4009628,MG139,4077,139,1768824.12899989,6516007.29235701
Rodný domek Aloise Jiráska,00084930,Královéhradecký kraj,ne,bezbariérové WC ne,obecné,prohlídka domu Aloise Jiráska,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Hronov,574082,Jiráskova,90,č.p.,,54931,https://muzeumnachod.cz/,POINT(50.4819956 16.1815392),16.1815392,50.4819956,MG140,4060,140,1801320.7039954,6530171.23396533
Rumcajsův svět Radka Pilaře Jičín,13584430,Kulturní zařízení města Jičína,ano,bezbariérové WC ne,pohádkové,expozice ukazuje výjevy ze života pohádkové postavy Rumcajse,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičín,572659,Valdštejnovo náměstí,1,č.p.,,50601,https://www.rumcajsuvsvet.cz/,POINT(50.4363556 15.3519819),15.3519819,50.4363556,MG141,4072,141,1708974.80777556,6522190.7127966
Samostatný pěchotní srub T-S 19 Turov,22830537,KVH T-S 19 Turov z.s.,částečně,"bezbariérové WC ne, bezbariérově přístupné pouze 1. patro",vojenské,zabývá se tematikou československého opevnění a 2. sv. války s vazbou na Broumovsko,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Hronov,574082,Rokytník,,,,54931,https://www.t-s19.cz/,POINT(50.5054856 16.1336994),16.1336994,50.5054856,MG142,4061,142,1795995.20181975,6534281.65363374
Síň Jarmily Haldové a památník obce Sedloňov,00275352,Obec Sedloňov,ne,bezbariérové WC ne,obecné,stálá expozice řezbářky a výtvarnice Jarmily Haldové,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Dobruška,5202,Sedloňov,576743,Sedloňov,155,č.p.,,51791,https://www.sedlonov.cz/index.php/muzea,POINT(50.3395919 16.3138925),16.3138925,50.3395919,MG143,4129,143,1816054.20595621,6505296.21414186
Stálá expozice Františka Kupky a Luboše Sluky,00275191,Město Opočno,ne,bezbariérové WC ne,historické,"expozice věnovaná reprodukci děl Františka Kupky a Luboše Sluky - knihy, nástroje, ukázky hudby, busta, povídání o jejich životě",Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Dobruška,5202,Opočno,576590,Trčkovo náměstí,1,č.p.,,51773,https://www.opocno.cz/stala%2Dexpozice%2Dfrantiska%2Dkupky%2Da%2Dlubose%2Dsluky/os-1076/p1=4612,POINT(50.2649011 16.1153364),16.1153364,50.2649011,MG144,4110,144,1793951.04201031,6492279.06363698
Stálá expozice Muzea Náchodska,00084930,Královéhradecký kraj,částečně,"bezbariérové WC ano, bezb. přístupno pouze 1. patro",obecné,zachycuje dějiny Náchoda a jeho okolí od pravěku až po současnost,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Náchod,573868,Masarykovo náměstí,18,č.p.,,54701,https://muzeumnachod.cz/,POINT(50.4172436 16.1632458),16.1632458,50.4172436,MG145,4094,145,1799284.29202252,6518851.11151248
Stará škola Dřevěnka,00084930,Královéhradecký kraj,ne,bezbariérové WC ne,historické,výstava zobrazuje původní barokní patrovou roubenou budovu ve které se nacházejí třídy a byt pana učitele,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Police nad Metují ,574341,Hvězdecká,15,č.p.,,54931,https://www.muzeumnachod.cz/objekt/stara-skola-drevenka,POINT(50.5372217 16.2346925),16.2346925,50.5372217,MG146,4117,146,1807237.70228538,6539838.27350218
Studijní a vědecká knihovna v Hradci Králové - Galerie U Přívozu a Galerie Automat,00412821,Královéhradecký kraj,ano,bezbariérové WC ano,umělecké,pořádání tématických výstav,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Hradecká ,1250,č.p.,2,50003,https://www.svkhk.cz/,POINT(50.2054639 15.8316733),15.8316733,50.2054639,MG147,4052,147,1762373.81016147,6481934.89722413
Synagoga - Památník Karla Poláčka,00371149,Královéhradecký kraj,ne,bezbariérové WC ne,obecné,expozice dokumentuje historii židovství v Podorlicku a zároveň přibližuje život rychnovského rodáka Karla Poláčka,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,Fischerova,602,č.p.,,51601,https://www.rychnov-city.cz/,POINT(50.1627039 16.2761719),16.2761719,50.1627039,MG148,4127,148,1811855.1679718,6474501.11591608
Sýpka - Muzeum Orlických hor,00371149,Královéhradecký kraj,ano,bezbariérové WC ano,přírodovědné,expozice je unikátní třípatrový model lesního biotopu s více než padesáti preparáty živočichů,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rokytnice v Orlických horách,576701,Horská,174,č.p.,,51761,www.sypka-moh.cz,POINT(50.1660519 16.4661681),16.4661681,50.1660519,MG149,4120,149,1833005.44820845,6475082.92216336
Šolcův statek - Lapidárium a galerie Karla Šamšiňáka,00084549,Královéhradecký kraj,ne,bezbariérové WC ne,umělecké,každoročně se vystřídají obvykle 4 výstavy výtvarného umění – 1 expozice soch v lapidáriu a 3 výstavy obrazů v ústředním roubeném objektu,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Sobotka,573493,Šolcova ,133,č.p.,,50743,http://www.solcuvstatek.cz/cs/home/,POINT(50.4672211 15.1789828),15.1789828,50.4672211,MG150,4132,150,1689716.63605586,6527586.95073698
Tkalcovské muzeum z.s. - Dům pod jasanem,22680152,Tkalcovské muzeum z.s.,ano,"bezbariérové WC ne, domluvit předem",jiné,"interaktivní prohlídka ohledně zpracování základních textilních surovin, předení a tkaní, ale také s životem v domácnosti tkalců",Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Trutnov,579025,"U Božích muk, Voletiny",22,č.p.,,54101,http://www.dumpodjasanem.cz/,POINT(50.5857928 15.9374661),15.9374661,50.5857928,MG151,4142,151,1774150.61078707,6548349.74916504
Třebechovické muzeum betlémů,45981116,Město Třebechovice pod Orebem,ano,"bezbariérové WC ano, pro zrakově postižené je upravena pouze část výstavy",umělecké,více než 400 betlémů zhotovených z nejrůznějších materiálů a pocházejících ze všech oblastí České republiky,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Třebechovice pod Orebem,571041,Masarykovo náměstí,1426,č.p.,,50346,https://www.betlem.cz/cz/,POINT(50.2013758 15.9940947),15.9940947,50.2013758,MG152,4146,152,1780454.4777034,6481223.89750611
Válečné muzeum Újezd pod Troskami,64241556,Milan Trakal,částečně,"bezbariérové WC ne, u vstupu nutno překonat tři schody - po předchozí domluvě obsluha pomůže, příp. vynese vozík","historické, vojenské","expozice se zabývá Prusko – Rakouskou válkou, I. světovou válkou, První republikou ve vztahu k regionu Českého ráje",Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Rovensko pod Troskami,577472,Újezd pod Troskami ,25,č.p.,,51263,https://www.valecnemuzeum.cz/,POINT(50.5067292 15.2620922),15.2620922,50.5067292,MG153,4122,153,1698968.332144,6534499.32312565
Vlastivědné muzeum v Dobrušce,00274879,Město Dobruška,ano,"Muzeum je bezbariérové, jsou zde panely s texty a komentovaná prohlídka. Synagoga, která je součástí muzea bezbariérová není.",vlastivědné,"expozice věnovaná dobrušským osobnostem, dějinám města, dějinám dobrušských židů a pamětihodnostem. Expozice „Vojenská geografie“. Židovský hřbitov.",Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Dobruška,5202,Dobruška,576271,Šubertovo náměstí,45,č.p.,,51801,https://www.kulturadobruska.cz/vlastivedne-muzeum/uvodni-informace/,POINT(50.2923611 16.1620486),16.1620486,50.2923611,MG154,4018,154,1799151.02032815,6497062.43070124
Vlastivědné muzeum v Dobrušce - radnice,00274879,Město Dobruška,částečně,K dispozici jsou panely s texty. ,vlastivědné,Expozice mládí Františka Kupky s originály prvotin tohoto českého malíře. ,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Dobruška,5202,Dobruška,576271,náměstí F. L. Věka,1,č.p.,,51801,https://www.kulturadobruska.cz/vlastivedne-muzeum/expozice/stale-expozice/#radnice,POINT(50.2919994 16.1600303),16.1600303,50.2919994,MG155,4019,155,1798926.34419988,6496999.40679634
Vlastivědné muzeum v Dobrušce - rodný domek F. V. Heka (F. L. Věka),00274879,Město Dobruška,částečně,Vstup do budovy není bezbariérový. Je k dispozici bezbariérová toaleta.,vlastivědné,expozice v rodném domku Františka Vladislava Heka (Věka) je věnovaná především této významné osobnosti,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Dobruška,5202,Dobruška,576271,Novoměstská,185,č.p.,,51801,https://www.kulturadobruska.cz/vlastivedne-muzeum/expozice/stale-expozice/#domek,POINT(50.2926808 16.1594256),16.1594256,50.2926808,MG156,4020,156,1798859.0293038,6497118.13677442
Vlastivědné muzeum Železnice,00272426,Město Železnice,částečně,"bezbariérové WC ne, bezbariérový přístup pouze na dvůr (konají se zde akce) a do roubené chaty",obecné,"expozice orientované na Prusko-rakouskou válku roku 1866 – zbraně, přilby, nálezy z bojiště, dále expozice ze života našich předků",Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Železnice,573825,Muzejní ,181,č.p.,,50713,https://muzeumzeleznice.webk.cz/,POINT(50.4718267 15.3821236),15.3821236,50.4718267,MG157,4163,157,1712330.1664712,6528392.45310813
Výstavní síň Muzea Náchodska,00084930,Královéhradecký kraj,ne,bezbariérové WC ne,obecné,sezonní výstavy,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Náchod,573868,Tyršova,247,č.p.,,54701,https://muzeumnachod.cz/,POINT(50.4159308 16.1612131),16.1612131,50.4159308,MG158,4096,158,1799058.01289359,6518621.76433505
Zahrádkářské muzeum,00443182,Územní sdružení Českého zahrádkářského svazu v Hradci Králové,ne,bezbariérové WC ne,přírodovědné,"muzem představuje jak listinný a obrazový materiál, tak časopisy a knihy, které dokumentují kořeny a rozvoj ovocnářství, zelinářství, květinářství, vznik a vývoj zahrádkářského hnutí v Čechách i na Moravě",Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Petra Jilemnického,351,č.p.,,50301,https://www.zahradkari.cz/,POINT(50.2301025 15.8029614),15.8029614,50.2301025,MG159,4057,159,1759177.61607377,6486221.31679573
Železniční muzeum Výtopna Jaroměř,48621919,"Společnost železniční výtopna Jaroměř, z.s.",částečně,"bezbariérové WC ne, bezbariérový přístup do cca 90 % prostor",průmyslové,v expozici nejstarší provozuschopná parní lokomotiva z roku 1879,Královéhradecký kraj,CZ052,Náchod,CZ0523,Jaroměř,5206,Jaroměř,574121,Nádražní,227,č.p.,,55101,https://www.vytopnajaromer.cz/,POINT(50.3415917 15.9061036),15.9061036,50.3415917,MG160,4065,160,1770659.35325706,6505645.02148413
